symbol,side,entry,exit,pnl,reason,time
LTC/USDT,LONG,95.58500000000001,93.70961862618405,-71.56087896706896,STOP_LOSS,2024-03-12 17:15:00
TIA/USDT,LONG,16.1173,16.703730694344113,55.66495275243801,TP1_80%,2024-03-12 17:30:00
TIA/USDT,LONG,16.1173,17.827722858503662,10.535520968020798,TP2_5%,2024-03-12 19:00:00
AVAX/USDT,LONG,53.629000000000005,55.92632501238096,59.03415961208088,TP1_80%,2024-03-14 00:30:00
TIA/USDT,LONG,16.1173,16.703730694344113,10.285249267050876,BE_STOP,2024-03-14 11:00:00
AVAX/USDT,LONG,53.629000000000005,53.629000000000005,-0.8341328502056324,BE_STOP,2024-03-14 15:30:00
SOL/USDT,LONG,162.3875,169.6951922847808,74.94799856119172,TP1_80%,2024-03-15 10:30:00
SOL/USDT,LONG,162.3875,183.70160249727738,14.080405956864073,TP2_5%,2024-03-15 13:45:00
AVAX/USDT,LONG,57.332,55.71486835563128,-62.14668800418638,STOP_LOSS,2024-03-16 17:45:00
TIA/USDT,SHORT,14.0445,14.277504142264176,-62.35855919262384,STOP_LOSS,2024-03-17 10:15:00
OP/USDT,SHORT,3.6455,3.565512120328829,46.385618665695766,TP1_80%,2024-03-17 13:45:00
AVAX/USDT,LONG,55.6375,57.26342867757577,49.09915229585819,TP1_80%,2024-03-18 01:45:00
AVAX/USDT,LONG,55.6375,60.379791976262645,9.38293123885458,TP2_5%,2024-03-18 02:45:00
SOL/USDT,LONG,162.3875,205.01570499455477,84.87500201655702,TP3_FULL,2024-03-18 03:00:00
OP/USDT,SHORT,3.6455,3.4122020176257513,8.983345231200639,TP2_5%,2024-03-18 09:00:00
FET/USDT,LONG,2.672,2.5712237508847036,-64.01445332294952,STOP_LOSS,2024-03-18 13:15:00
AVAX/USDT,LONG,55.6375,65.12208395252529,56.94079268418551,TP3_FULL,2024-03-18 16:30:00
SOL/USDT,LONG,199.13400000000001,193.9880288734789,-78.98671152210552,STOP_LOSS,2024-03-19 01:00:00
OP/USDT,SHORT,3.6455,3.178904035251502,54.77139275553392,TP3_FULL,2024-03-19 01:30:00
ETH/USDT,SHORT,3199.71,3255.3425663309135,-66.74239922027932,STOP_LOSS,2024-03-20 10:30:00
BNB/USDT,LONG,565.335,557.0647186758172,-64.88759869234295,STOP_LOSS,2024-03-22 13:30:00
WIF/USDT,LONG,2.6919,2.774319379295036,48.713273383423285,TP1_80%,2024-03-26 04:45:00
WIF/USDT,LONG,2.6919,2.9322898562771877,9.310201154078209,TP2_5%,2024-03-26 05:30:00
WIF/USDT,LONG,2.6919,3.172679712554376,56.53452801003889,TP3_FULL,2024-03-26 10:00:00
DOGE/USDT,LONG,0.18120999999999998,0.17741689469994976,-64.71019492128008,STOP_LOSS,2024-03-26 14:15:00
FET/USDT,LONG,2.8473499999999996,2.9238740470640483,49.97594728751824,TP1_80%,2024-03-27 01:30:00
FET/USDT,LONG,2.8473499999999996,3.070545137270141,9.618188888249863,TP2_5%,2024-03-27 06:45:00
FET/USDT,LONG,2.8473499999999996,3.2937402745402826,58.46638574782866,TP3_FULL,2024-03-27 10:15:00
FET/USDT,LONG,2.9627499999999998,3.062824511505651,55.26369363537156,TP1_80%,2024-03-27 22:45:00
FET/USDT,LONG,2.9627499999999998,3.2546339918914837,10.480327552086493,TP2_5%,2024-03-28 06:15:00
