symbol,side,entry,exit,pnl,reason,time
VIRTUAL/USDT,LONG,2.40925,2.3591829576085575,-92.11470960861816,STOP_LOSS,2025-05-28 14:00:00
TURBO/USDT,LONG,0.0043941,0.004284383661909855,-83.3650034928499,STOP_LOSS,2025-07-11 22:15:00
TURBO/USDT,LONG,0.00572415,0.005405228438270988,-71.94483806722593,STOP_LOSS,2025-07-15 05:45:00
TAO/USDT,LONG,427.575,441.850594409134,8.846095812211,TP1_33%,2025-07-16 06:45:00
TAO/USDT,LONG,427.575,428.8,-0.6937684019623891,STAGNATION_EXIT,2025-07-17 01:30:00
MOODENG/USDT,LONG,0.201115,0.19494749364586672,-28.56362000185488,STOP_LOSS,2025-07-17 10:45:00
TON/USDT,LONG,3.17445,3.1442488269739695,-8.654811588650302,STOP_LOSS,2025-07-17 20:00:00
FIL/USDT,LONG,2.7925,2.7507657460133874,-7.6908348404545155,STOP_LOSS,2025-07-18 19:00:00
BCH/USDT,LONG,509.95000000000005,516.9087580593883,1.736886404280499,TP1_33%,2025-07-19 00:15:00
BCH/USDT,LONG,509.95000000000005,509.95000000000005,-1.3645921752899275,TRAILING_STOP,2025-07-19 01:00:00
AVAX/USDT,LONG,23.3775,23.813102874535257,1.9174880062345845,TP1_33%,2025-07-19 12:45:00
AVAX/USDT,LONG,23.3775,23.3775,-0.9997087306256806,TRAILING_STOP,2025-07-19 14:30:00
WLD/USDT,LONG,1.1252,1.156906607252245,2.0757127853955373,TP1_33%,2025-07-19 20:30:00
ETC/USDT,LONG,23.0095,23.77862510528102,2.130097674222604,TP1_33%,2025-07-19 23:30:00
ETC/USDT,LONG,23.0095,24.048,6.03992020975079,TRAILING_STOP,2025-07-20 00:15:00
WLD/USDT,LONG,1.1252,1.1896,9.24199522085205,TRAILING_STOP,2025-07-20 06:30:00
TAO/USDT,LONG,417.14,413.21541216709034,-8.719833849337794,STOP_LOSS,2025-07-20 23:15:00
BCH/USDT,LONG,526.65,533.9097856110803,1.7643552814158356,TP1_33%,2025-07-21 03:00:00
BCH/USDT,LONG,526.65,526.65,-1.3668791381055008,TRAILING_STOP,2025-07-21 04:45:00
BNB/USDT,LONG,777.0799999999999,785.0213167918602,1.5300637577020761,TP1_33%,2025-07-23 14:00:00
BNB/USDT,LONG,777.0799999999999,777.0799999999999,-1.8444757104838336,TRAILING_STOP,2025-07-23 16:15:00
FIL/USDT,LONG,2.716,2.692455592408681,-8.859703419704646,STOP_LOSS,2025-07-28 14:15:00
ARB/USDT,LONG,0.4545,0.4480280517741219,-7.801962284184614,STOP_LOSS,2025-07-28 14:15:00
TIA/USDT,LONG,2.01825,1.9934058774067074,-8.060017549916243,STOP_LOSS,2025-07-28 14:15:00
ETH/USDT,LONG,3675.79,3653.6380582541105,-9.803565858504747,STOP_LOSS,2025-08-05 03:15:00
TRX/USDT,LONG,0.33684000000000003,0.338052624,-0.13561808609807047,TP1_33%,2025-08-07 23:15:00
TRX/USDT,LONG,0.33684000000000003,0.33684000000000003,-5.058567406891364,TRAILING_STOP,2025-08-08 00:15:00
TRX/USDT,LONG,0.33684000000000003,0.3382880882428968,0.26810482017897797,TP1_33%,2025-08-08 00:30:00
TRX/USDT,LONG,0.33684000000000003,0.33684000000000003,-4.213878423882861,TRAILING_STOP,2025-08-08 01:00:00
